Date,Temperature
2021-10-12,6.38277835288205
2021-10-13,6.238398468167215
2021-10-14,6.23466620170739
2021-10-15,6.334772840329584
2021-10-16,6.170045349573871
2021-10-17,6.074441128848735
2021-10-18,6.25626554939607
2021-10-19,6.186232158941539
2021-10-20,6.461048497492905
2021-10-21,6.700453156355435
2021-10-22,6.4113358899044846
2021-10-23,7.179832675644412
2021-10-24,6.934852823570193
2021-10-25,6.982093632973533
2021-10-26,7.317413315645248
2021-10-27,6.908509205650624
2021-10-28,7.193697905586732
2021-10-29,6.691901662706579
2021-10-30,6.54043096864232
2021-10-31,6.393646658811883
2021-11-01,6.511424657713191
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,6.502950225955126
2021-11-06,4.89215712225
2021-11-07,6.106692512003898
2021-11-08,6.1857362869187
2021-11-09,6.2219662663995505
2021-11-10,6.34092976778307
2021-11-11,6.047770679942272
2021-11-12,6.274662597318719
2021-11-13,6.299139368927341
2021-11-14,6.184220386118123
2021-11-15,6.335593499695994
2021-11-16,6.210465341161874
2021-11-17,6.464574922279287
2021-11-18,
2021-11-19,6.370057867944464
2021-11-20,6.335399754594754
2021-11-21,6.486002720643959
2021-11-22,5.86997804014073
2021-11-23,6.418880272966794
2021-11-24,6.309492656908897
2021-11-25,6.392362463437001
2021-11-26,6.235949444033786
2021-11-27,6.331136996616925
2021-11-28,6.2614281045416975
2021-11-29,6.2191306019673664
2021-11-30,6.2744216077760875
2021-12-01,6.386232827313877
2021-12-02,6.150771466890205
2021-12-03,6.154968138139569
2021-12-04,6.308442432539965
2021-12-05,6.27242018762799
2021-12-06,6.365189932584492
2021-12-07,6.26857309398289
2021-12-08,6.316469301989648
2021-12-09,6.2680459417754815
2021-12-10,6.275518687933045
2021-12-11,6.348172178691371
2021-12-12,6.416986895477416
2021-12-13,6.400043280854321
2021-12-14,6.329906275823576
2021-12-15,6.6190103344008815
2021-12-16,6.546228393736671
2021-12-17,6.490446214334667
2021-12-18,6.453517389150299
2021-12-19,6.556266711143031
2021-12-20,6.048316652803494
2021-12-21,6.4776007579815005
2021-12-22,6.506369503273423
2021-12-23,6.614527482963071
2021-12-24,6.599990680712599
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,9.299582038511062
2021-12-31,
2022-01-01,
2022-01-02,
2022-01-03,6.378997984994977
2022-01-04,6.72124873980685
2022-01-05,6.6789291371479935
2022-01-06,6.5133551016112445
2022-01-07,6.671177538642174
2022-01-08,6.56693192404701
2022-01-09,6.471149911389254
2022-01-10,6.565486470496314
2022-01-11,6.806180151160555
2022-01-12,6.875550030195304
2022-01-13,6.925836401139502
2022-01-14,6.938531486870334
2022-01-15,6.894424528206954
2022-01-16,6.792160147377655
2022-01-17,6.719078390927187
2022-01-18,6.790965571884943
2022-01-19,6.818744833094778
2022-01-20,6.803439216480187
2022-01-21,6.734912710220335
2022-01-22,6.607872687960664
2022-01-23,6.792924911698572
2022-01-24,6.740380151114665
2022-01-25,6.660599130011822
2022-01-26,6.547971515359944
2022-01-27,6.669195169962148
2022-01-28,6.660339101280111
2022-01-29,6.678970841823135
2022-01-30,6.630477666853895
2022-01-31,6.8373166852714276
2022-02-01,6.705375598330078
2022-02-02,6.597777106739753
2022-02-03,6.57769795815643
2022-02-04,6.428599889200503
2022-02-05,6.480533197378416
2022-02-06,6.62469510968981
2022-02-07,6.461338935304979
2022-02-08,6.527068815258945
2022-02-09,6.581019433781185
2022-02-10,6.645376070641942
2022-02-11,6.609400877573276
2022-02-12,6.456359164219874
2022-02-13,6.494143044046696
2022-02-14,6.589999177866032
2022-02-15,6.340926830724075
2022-02-16,6.419300098844274
2022-02-17,6.430836573209049
2022-02-18,6.179022081387867
2022-02-19,6.445306304541586
2022-02-20,6.3786963819269085
2022-02-21,6.364224645969311
2022-02-22,6.379847127988367
2022-02-23,6.329804753822188
2022-02-24,6.3148792717954425
2022-02-25,6.381386567476779
2022-02-26,6.350792738272418
2022-02-27,6.353112505937488
2022-02-28,6.381849809097532
2022-03-01,6.136343092981581
2022-03-02,6.110572416971379
2022-03-03,6.364003777435016
2022-03-04,6.424343545148927
2022-03-05,6.288476986503597
2022-03-06,6.2671337382018155
2022-03-07,6.288254420628425
2022-03-08,6.295698597454994
2022-03-09,6.3007408999523
2022-03-10,6.270643777883831
2022-03-11,6.238822337532086
2022-03-12,6.256195929656615
2022-03-13,6.3364465919972695
2022-03-14,6.360235105199578
2022-03-15,6.328265604201751
2022-03-16,6.383600006018363
2022-03-17,6.112403738510356
2022-03-18,6.171220981280382
2022-03-19,6.364293186779801
2022-03-20,
2022-03-21,5.102002080545023
2022-03-22,4.905059284655476
2022-03-23,4.967819229401963
2022-03-24,4.918018185632709
2022-03-25,4.878645671055908
2022-03-26,4.886810456581221
2022-03-27,4.889669151774588
2022-03-28,4.892489217906633
2022-03-29,4.826654389956539
2022-03-30,6.328260546208433
2022-03-31,6.3476174425289225
